,Latitude,Longitude,datetime,pm_conc,Name,month,day,month_cat,threshold,Census_Tract,asthma_rate,Rate Lower Confidence Interval,Rate Upper Confidence Interval,year
120,37.63757,122.4327,2024-11-24 00:00:00+00:00,3.09,Brentwood Park,11,Sunday,11,False,6081602400,8.1,7.7,8.5,2018
121,37.63757,122.4327,2024-11-24 00:00:00+00:00,3.09,Brentwood Park,11,Sunday,11,False,6081602400,8.2,7.8,8.5,2019
122,37.63757,122.4327,2024-11-24 00:00:00+00:00,3.09,Brentwood Park,11,Sunday,11,False,6081602400,8.4,8.1,8.7,2020
123,37.63757,122.4327,2024-11-24 00:00:00+00:00,3.09,Brentwood Park,11,Sunday,11,False,6081602400,8.3,7.3,9.4,2021
124,37.63757,122.4327,2024-11-24 00:00:00+00:00,3.09,Brentwood Park,11,Sunday,11,False,6081602400,8.8,7.7,9.9,2022
125,37.63757,122.4327,2025-02-07 00:00:00+00:00,2.72,Brentwood Park,2,Friday,2,False,6081602400,8.1,7.7,8.5,2018
126,37.63757,122.4327,2025-02-07 00:00:00+00:00,2.72,Brentwood Park,2,Friday,2,False,6081602400,8.2,7.8,8.5,2019
127,37.63757,122.4327,2025-02-07 00:00:00+00:00,2.72,Brentwood Park,2,Friday,2,False,6081602400,8.4,8.1,8.7,2020
128,37.63757,122.4327,2025-02-07 00:00:00+00:00,2.72,Brentwood Park,2,Friday,2,False,6081602400,8.3,7.3,9.4,2021
129,37.63757,122.4327,2025-02-07 00:00:00+00:00,2.72,Brentwood Park,2,Friday,2,False,6081602400,8.8,7.7,9.9,2022
130,37.63757,122.4327,2024-12-23 00:00:00+00:00,13.33,Brentwood Park,12,Monday,12,False,6081602400,8.1,7.7,8.5,2018
131,37.63757,122.4327,2024-12-23 00:00:00+00:00,13.33,Brentwood Park,12,Monday,12,False,6081602400,8.2,7.8,8.5,2019
132,37.63757,122.4327,2024-12-23 00:00:00+00:00,13.33,Brentwood Park,12,Monday,12,False,6081602400,8.4,8.1,8.7,2020
