Site_ID,Site_Name,year,season,avg_daily_min_pm25,avg_daily_max_pm25,avg_daily_mean_pm25,avg_daily_variance_pm25,p95_daily_max_pm25,median_daily_max_pm25,standard_deviation_of_daily_means,max_pm25,days_above_12,days_above_35,days_above_55,total_days,percent_days_moderate_or_worse,max_consecutive_days_above_35,max_consecutive_days_above_55,Census_Tract,Latitude,Longitude
65711,Commodore Dr,2023,Summer,1.6884266791604203,9.1681615942029,4.0374978676675495,9.738198601836572,38.18185633333336,5.775890000000001,3.703491487137456,55.84709333333334,14,5,1,92,15.217391304347826,2,1,6081604102,37.63386,-122.42311
65711,Commodore Dr,2023,Winter,1.674225844189017,11.514210446998725,5.0112703389861295,12.583453848619952,28.167592999999997,9.226666666666667,4.577038669657564,42.47043333333334,35,2,0,90,38.888888888888886,2,0,6081604102,37.63386,-122.42311
67263,Danger Stairs,2020,Fall,4.315601842273308,16.610058326456432,9.242898561082669,25.829395283338087,35.92966133333336,12.37698,8.098502171724888,87.14206666666668,38,4,2,72,52.77777777777778,2,2,6081601700,37.662823,-122.45957
67263,Danger Stairs,2020,Winter,3.774156707452726,21.801042795698926,10.639168126719037,39.168200300405445,44.61720333333333,18.56556,7.275628652799406,47.38468666666667,24,6,0,31,77.41935483870968,3,0,6081601700,37.662823,-122.45957
67263,Danger Stairs,2021,Fall,3.2351521611721616,12.285183432837917,7.17508340681741,14.293822432696901,29.17275666666667,9.391513333333332,5.50440071870415,41.20061333333333,30,4,0,91,32.967032967032964,2,0,6081601700,37.662823,-122.45957
67263,Danger Stairs,2021,Spring,3.027314102948526,6.918047681159421,4.769371221601495,1.5413565509622558,11.535241666666668,6.924750000000001,1.9472752605843477,14.095293333333336,5,0,0,92,5.434782608695652,0,0,6081601700,37.662823,-122.45957
67263,Danger Stairs,2021,Summer,2.60408579710145,8.078235672163919,4.974059959464236,5.635909205538148,16.959001666666666,6.608120000000001,3.4407250891205976,41.95254666666666,12,1,0,92,13.043478260869565,1,0,6081601700,37.662823,-122.45957
67263,Danger Stairs,2021,Winter,2.8108331986687154,15.488280526272579,7.29366573860499,22.07182237174015,35.634006,11.791898850574714,6.165702371591379,66.75414166666667,44,5,1,90,48.888888888888886,2,1,6081601700,37.662823,-122.45957
67263,Danger Stairs,2022,Fall,3.44967301367068,10.470775596816976,6.5135909222451485,7.6519683543504655,21.490953333333334,9.290066666666666,4.03779541918347,43.45532666666667,30,1,0,91,32.967032967032964,1,0,6081601700,37.662823,-122.45957
67263,Danger Stairs,2022,Spring,2.5486040204897558,6.560117825016063,4.414950447687399,1.670889122623416,10.73331266666667,6.000506666666667,1.961547780090082,14.35520666666667,3,0,0,92,3.260869565217391,0,0,6081601700,37.662823,-122.45957
