datasourceId,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,pm2_5ConcMass24HourMean.raw,pm2_5ConcMass24HourMean.value,pm2_5ConcMass24HourMeanUsEpaAqi.raw,pm2_5ConcMass24HourMeanUsEpaAqi.value,pm2_5ConcNum24HourMean.raw,pm2_5ConcNum24HourMean.value,relHumidInternal24HourMean.raw,relHumidInternal24HourMean.value,temperatureInternal24HourMean.raw,temperatureInternal24HourMean.value,Name
DCVIM2201,2025-01-26T00:00:00.000Z,2025-01-27T00:00:00.000Z,37.63757,-122.4327,6.26,5.73,34,32,6.28,6.28,56.28,56.28,10.29,10.29,Brentwood Park
DCVIM2201,2024-11-15T00:00:00.000Z,2024-11-16T00:00:00.000Z,37.63757,122.4327,5.27,4.79,29,26,4.93,4.93,68.39,68.39,12.54,12.54,Brentwood Park
DCVIM2201,2025-01-29T00:00:00.000Z,2025-01-30T00:00:00.000Z,37.63757,-122.4327,6.75,5.03,37,28,7.41,7.41,73.07,73.07,11.15,11.15,Brentwood Park
DCVIM2201,2025-03-16T00:00:00.000Z,2025-03-17T00:00:00.000Z,37.63757,-122.4327,9.55,6.59,52,36,7.67,7.67,74.17,74.17,12.2,12.2,Brentwood Park
DCVIM2201,2025-02-01T00:00:00.000Z,2025-02-02T00:00:00.000Z,37.63757,-122.4327,7.51,3.73,42,21,7.26,7.26,87.19,87.19,13.11,13.11,Brentwood Park
DCVIM2201,2024-11-21T00:00:00.000Z,2024-11-22T00:00:00.000Z,37.63757,-122.4327,1.5,2,8,11,1.8,1.8,86.07,86.07,14.08,14.08,Brentwood Park
DCVIM2201,2025-02-04T00:00:00.000Z,2025-02-05T00:00:00.000Z,37.63757,-122.4327,1.07,1.92,6,11,1.41,1.41,84.32,84.32,13.81,13.81,Brentwood Park
DCVIM2201,2025-03-22T00:00:00.000Z,2025-03-23T00:00:00.000Z,37.63757,-122.4327,4.45,3.85,24,21,4.32,4.32,78.76,78.76,12.84,12.84,Brentwood Park
DCVIM2201,2025-03-25T00:00:00.000Z,2025-03-26T00:00:00.000Z,37.63757,-122.4327,9.11,6.31,51,35,12.06,12.06,65.45,65.45,19.86,19.86,Brentwood Park
DCVIM2201,2024-11-27T00:00:00.000Z,2024-11-28T00:00:00.000Z,37.63757,-122.4327,5.86,3.96,32,22,5.83,5.83,74.74,74.74,11.01,11.01,Brentwood Park
DCVIM2201,2025-02-10T00:00:00.000Z,2025-02-11T00:00:00.000Z,37.63757,-122.4327,3.92,3.96,22,22,3.82,3.82,68.11,68.11,8,8,Brentwood Park
DCVIM2201,2024-11-30T00:00:00.000Z,2024-12-01T00:00:00.000Z,37.63757,-122.4327,24.3,11.56,79,55,22.46,22.46,71.03,71.03,9.79,9.79,Brentwood Park
DCVIM2201,2025-02-13T00:00:00.000Z,2025-02-14T00:00:00.000Z,37.63757,-122.4327,9.96,5.23,52,29,9.24,9.24,83.87,83.87,12.37,12.37,Brentwood Park
DCVIM2201,2024-12-03T00:00:00.000Z,2024-12-04T00:00:00.000Z,37.63757,-122.4327,17.29,10.15,66,53,18.45,18.45,62.06,62.06,12.68,12.68,Brentwood Park
DCVIM2201,2025-01-27T00:00:00.000Z,2025-01-28T00:00:00.000Z,37.63757,-122.4327,5.13,5.43,28,30,5.39,5.39,55.79,55.79,8.93,8.93,Brentwood Park
DCVIM2201,2024-11-16T00:00:00.000Z,2024-11-17T00:00:00.000Z,37.63757,122.4327,7.93,6.11,44,34,7.64,7.64,62.63,62.63,11.1,11.1,Brentwood Park
DCVIM2201,2025-01-30T00:00:00.000Z,2025-01-31T00:00:00.000Z,37.63757,-122.4327,7.86,5.44,43,30,8.48,8.48,70.89,70.89,9.79,9.79,Brentwood Park
DCVIM2201,2025-03-17T00:00:00.000Z,2025-03-18T00:00:00.000Z,37.63757,-122.4327,3.83,3.49,21,19,3.61,3.61,80.57,80.57,12.11,12.11,Brentwood Park
DCVIM2201,2025-02-02T00:00:00.000Z,2025-02-03T00:00:00.000Z,37.63757,-122.4327,3.41,2.77,19,15,3.9,3.9,87.16,87.16,14.73,14.73,Brentwood Park
DCVIM2201,2024-11-22T00:00:00.000Z,2024-11-23T00:00:00.000Z,37.63757,-122.4327,1.17,1.9,6,11,1.52,1.52,86.12,86.12,15.71,15.71,Brentwood Park
DCVIM2201,2025-02-25T00:00:00.000Z,2025-02-26T00:00:00.000Z,37.63757,-122.4327,8.97,5.51,49,31,7.06,7.06,78.9,78.9,13.55,13.55,Brentwood Park
DCVIM2201,2025-03-23T00:00:00.000Z,2025-03-24T00:00:00.000Z,37.63757,-122.4327,7.28,4.72,40,26,6.81,6.81,78.49,78.49,13.43,13.43,Brentwood Park
DCVIM2201,2025-03-26T00:00:00.000Z,2025-03-27T00:00:00.000Z,37.63757,-122.4327,10.07,5.85,53,32,9.74,9.74,74.72,74.72,15.06,15.06,Brentwood Park
DCVIM2201,2024-11-28T00:00:00.000Z,2024-11-29T00:00:00.000Z,37.63757,-122.4327,4.47,4.2,24,23,4.98,4.98,66.21,66.21,9.19,9.19,Brentwood Park
DCVIM2201,2025-02-11T00:00:00.000Z,2025-02-12T00:00:00.000Z,37.63757,-122.4327,5.39,4.26,29,23,4.54,4.54,75.14,75.14,7.82,7.82,Brentwood Park
DCVIM2201,2024-12-01T00:00:00.000Z,2024-12-02T00:00:00.000Z,37.63757,-122.4327,16.9,10.34,66,53,18.24,18.24,60.74,60.74,12.93,12.93,Brentwood Park
DCVIM2201,2025-02-14T00:00:00.000Z,2025-02-15T00:00:00.000Z,37.63757,-122.4327,6.6,5.1,37,28,5.18,5.18,78.21,78.21,12.25,12.25,Brentwood Park
DCVIM2201,2024-12-04T00:00:00.000Z,2024-12-05T00:00:00.000Z,37.63757,-122.4327,41.05,20.47,115,72,44.12,44.12,68.54,68.54,12.39,12.39,Brentwood Park
DCVIM2201,2025-01-28T00:00:00.000Z,2025-01-29T00:00:00.000Z,37.63757,-122.4327,7.75,5.06,43,28,7.64,7.64,73.46,73.46,10.05,10.05,Brentwood Park
DCVIM2201,2024-12-07T00:00:00.000Z,2024-12-08T00:00:00.000Z,37.63757,-122.4327,44.36,20.54,123,72,46.5,46.5,76.55,76.55,11.6,11.6,Brentwood Park
DCVIM2201,2025-01-08T00:00:00.000Z,2025-01-09T00:00:00.000Z,37.63757,-122.4327,1.1,3.82,6,21,1.63,1.63,37.53,37.53,15.67,15.67,Brentwood Park
DCVIM2201,2024-11-20T00:00:00.000Z,2024-11-21T00:00:00.000Z,37.63757,-122.4327,1.98,3.74,11,21,2.4,2.4,56.94,56.94,12.77,12.77,Brentwood Park
DCVIM2201,2025-02-03T00:00:00.000Z,2025-02-04T00:00:00.000Z,37.63757,-122.4327,1.95,2.57,11,14,2.72,2.72,79.73,79.73,14.47,14.47,Brentwood Park
DCVIM2201,2024-11-23T00:00:00.000Z,2024-11-24T00:00:00.000Z,37.63757,-122.4327,1.3,2.03,7,11,1.42,1.42,84.65,84.65,13.7,13.7,Brentwood Park
DCVIM2201,2025-02-26T00:00:00.000Z,2025-02-27T00:00:00.000Z,37.63757,-122.4327,8.44,6.02,47,33,7.13,7.13,69.2,69.2,12.75,12.75,Brentwood Park
DCVIM2201,2025-02-27T00:00:00.000Z,2025-02-28T00:00:00.000Z,37.63757,-122.4327,7.39,5.95,41,33,8.7,8.7,63.35,63.35,15.01,15.01,Brentwood Park
DCVIM2201,2025-03-27T00:00:00.000Z,2025-03-28T00:00:00.000Z,37.63757,-122.4327,3.08,3.21,17,18,3.63,3.63,77.9,77.9,15,15,Brentwood Park
DCVIM2201,2025-03-28T00:00:00.000Z,2025-03-29T00:00:00.000Z,37.63757,-122.4327,4.73,4.21,26,23,4.09,4.09,75.34,75.34,13.98,13.98,Brentwood Park
DCVIM2201,2025-03-30T00:00:00.000Z,2025-03-31T00:00:00.000Z,37.63757,-122.4327,2.76,3.48,15,19,3,3,70.58,70.58,13.29,13.29,Brentwood Park
DCVIM2201,2025-03-31T00:00:00.000Z,2025-04-01T00:00:00.000Z,37.63757,-122.4327,4.16,3.94,23,22,3.97,3.97,75.35,75.35,14.23,14.23,Brentwood Park
DCVIM2201,2025-02-15T00:00:00.000Z,2025-02-16T00:00:00.000Z,37.63757,-122.4327,12,6.55,56,36,9.17,9.17,75.8,75.8,9.22,9.22,Brentwood Park
DCVIM2201,2024-12-05T00:00:00.000Z,2024-12-06T00:00:00.000Z,37.63757,-122.4327,31.21,14.79,92,61,31.91,31.91,73.71,73.71,12.76,12.76,Brentwood Park
DCVIM2201,2024-12-11T00:00:00.000Z,2024-12-12T00:00:00.000Z,37.63757,-122.4327,62.79,30.14,156,90,53.65,53.65,72.02,72.02,9.37,9.37,Brentwood Park
DCVIM2201,2024-12-08T00:00:00.000Z,2024-12-09T00:00:00.000Z,37.63757,-122.4327,87.55,38.93,173,109,89.71,89.71,76.41,76.41,12.67,12.67,Brentwood Park
DCVIM2201,2024-12-14T00:00:00.000Z,2024-12-15T00:00:00.000Z,37.63757,-122.4327,4.09,3.8,22,21,3.58,3.58,79.72,79.72,13.06,13.06,Brentwood Park
DCVIM2201,2025-03-19T00:00:00.000Z,2025-03-20T00:00:00.000Z,37.63757,-122.4327,4.14,3.82,23,21,3.74,3.74,72.48,72.48,10.16,10.16,Brentwood Park
DCVIM2201,2024-12-17T00:00:00.000Z,2024-12-18T00:00:00.000Z,37.63757,-122.4327,27.91,11.54,86,55,20.65,20.65,87.1,87.1,11.34,11.34,Brentwood Park
DCVIM2201,2025-03-21T00:00:00.000Z,2025-03-22T00:00:00.000Z,37.63757,-122.4327,5.92,4.9,33,27,4.86,4.86,72.12,72.12,11.83,11.83,Brentwood Park
DCVIM2201,2025-03-15T00:00:00.000Z,2025-03-16T00:00:00.000Z,37.63757,-122.4327,14.84,9.16,62,51,10.61,10.61,72.14,72.14,12.29,12.29,Brentwood Park
DCVIM2201,2025-02-28T00:00:00.000Z,2025-03-01T00:00:00.000Z,37.63757,-122.4327,23.58,12.4,78,57,26.13,26.13,66.23,66.23,16.11,16.11,Brentwood Park
DCVIM2201,2025-03-01T00:00:00.000Z,2025-03-02T00:00:00.000Z,37.63757,-122.4327,8.71,5.2,48,29,8.6,8.6,79.2,79.2,12.48,12.48,Brentwood Park
DCVIM2201,2025-03-29T00:00:00.000Z,2025-03-30T00:00:00.000Z,37.63757,-122.4327,3.73,3.93,21,22,3.35,3.35,70.15,70.15,12.48,12.48,Brentwood Park
