GEOID,NAME,unw_centroid_long,unw_centroid_lat,Estimated Population,Percent Non-Hispanic,Percent Non-Hispanic White ,Percent Non-Hispanic Black ,Percent Non-Hispanic American Indian/Alaska Native ,Percent Non-Hispanic Asian ,Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ,Percent Non-Hispanic Other ,Percent Non-Hispanic Two or More Races,Percent Hispanic ,Estimate Educated,Median Income ,Population Below Poverty Level,Population Income to Poverty Level,Percent Below 100% FPL,Percent Between 100% and 199% FPL,"Unemployment Rate, 16 and Over",Percent Below 200% FPL,Percent High School or Less,Percent Some College or Greater,Labor Force Participation Rate ,Percent Non-White,Redlining (HOLC Grade),Asthma Prevalence,Smoking Prevalence,Obesity Prevalence,COPD Prevalence,Lack of Health Care Access Prevalence,"ICE, Nonwhite by Income ","ICE, Rent Versus Owned ",Particulate Matter ,Housing Stress,Percent Population Within Half a Mile to Parks,Percent Population With Access to Healthy Foods
6081605300,Census Tract 6053; San Mateo County; California,-122.36200186,37.5819348,5059,86.6574421822495,55.7422415497134,0.336034789484088,0.197667523225934,22.7317651709824,0,0.632536074322989,7.01719707452066,13.3425578177505,3436,100781,5048,1331,6.53643876784373,10.8189331329827,4.7,17.3553719008264,13.7077997671711,86.2922002328289,80.1792485349879,44.2577584502866,NA,8.9,7.5,21.7,3.9,4.1,65.4823651452282,52.0228215767635,11.3585285826632,31.8852459016393,42,41.2766352876907
6081605400,Census Tract 6054; San Mateo County; California,-122.3456675,37.58643054,6420,81.9470404984424,57.4299065420561,0,0,19.9065420560748,0.264797507788162,1.44859813084112,2.89719626168224,18.0529595015576,4954,82615,6420,1137,1.58311345646438,0,4.3,1.58311345646438,12.1921679450949,87.8078320549051,86.7869875222816,42.5700934579439,NA,8.9,7.8,21.9,3.5,5.3,68.6313868613139,47.2992700729927,12.0084835083334,38.2466423729941,89.5,19.4094226940942
6081605501,Census Tract 6055.01; San Mateo County; California,-122.35060804,37.57939887,2947,79.7760434340007,52.2565320665083,0.780454699694605,0.169664065151001,21.2758737699355,1.18764845605701,3.52901255514082,0.576857821513403,20.2239565659993,2487,72922,2947,354,22.316384180791,4.51977401129944,9.6,26.8361581920904,20.7076799356655,79.2923200643345,88.6343216531896,47.7434679334917,NA,8.7,7.4,21.7,3,5.7,57.3053892215569,17.3652694610778,13.4824500241391,NA,100,NA
6081605502,Census Tract 6055.02; San Mateo County; California,-122.34725398,37.57517393,2444,82.5286415711948,46.2765957446808,0.286415711947627,0.286415711947627,31.7103109656301,0,0,3.96890343698854,17.4713584288052,1810,93333,2429,459,0,10.4575163398693,4.4,10.4575163398693,13.9226519337017,86.0773480662983,84.3236409608091,53.7234042553192,NA,8.8,7,21.5,3.7,4.2,67.9844097995546,57.7951002227171,11.3933070462985,23.7704918032787,69,67.4946004319655
6081605600,Census Tract 6056; San Mateo County; California,-122.36913773,37.56484305,6148,94.5998698763826,50.6018217306441,0.439167208848406,0.113858165256994,30.530253741054,0.292778139232271,2.29342875731945,10.3285621340273,5.40013012361744,3916,108125,6114,1916,7.15031315240083,3.18371607515658,6.6,10.3340292275574,3.7538304392237,96.2461695607763,71.822308690013,49.3981782693559,NA,7.8,4.9,17.7,3.2,2.5,73.9687848383501,90.0222965440357,11.9773778181557,31.2144221474044,70.8333333333333,38.3827847123574
6081605700,Census Tract 6057; San Mateo County; California,-122.34826441,37.54801668,5009,95.7875823517668,54.1625074865243,0.339389099620683,0,34.8572569375125,0,0,6.4284288281094,4.21241764823318,3623,102754,5009,1045,0,1.81818181818182,4.8,1.81818181818182,7.47998895942589,92.5200110405741,74.9649368863955,45.8374925134757,NA,8.2,6.2,18.3,3.8,2.7,72.1121177802945,95.9796149490374,12.1402932216898,32.6108832918297,80,43.5593015439132
6081605800,Census Tract 6058; San Mateo County; California,-122.34520361,37.56799971,2559,92.4970691676436,73.4661977334897,0,0,9.61313012895662,0,0,9.41774130519734,7.50293083235639,1683,93906,2559,640,13.125,1.5625,6.5,14.6875,6.5359477124183,93.4640522875817,77.5305096913137,26.5338022665104,NA,9.3,7.9,22.1,5.1,3.4,82.0362473347548,69.7228144989339,10.9564446333491,30.8320163780591,57.6666666666667,43.6752349779778
6081605901,Census Tract 6059.01; San Mateo County; California,-122.3366086,37.57381512,2695,74.3228200371058,36.1410018552876,1.11317254174397,0.222634508348794,26.4192949907236,0.408163265306122,0,10.0185528756957,25.6771799628942,2045,74438,2695,554,25.6317689530686,11.5523465703971,5.2,37.1841155234657,23.0317848410758,76.9682151589242,82.2589238145978,63.8589981447124,NA,9.2,10.2,24.2,4.6,7.5,60.4166666666667,28.6347517730497,13.9033394591636,NA,78,NA
6081605902,Census Tract 6059.02; San Mateo County; California,-122.33035973,37.57023611,3437,58.6267093395403,17.0206575501891,2.29851614780332,4.07331975560081,28.9205702647658,0,1.57113762001746,4.7425080011638,41.3732906604597,2648,34554,3437,496,10.8870967741935,2.01612903225806,3.3,12.9032258064516,39.9924471299094,60.0075528700906,87.2177247550064,82.9793424498109,NA,9.5,12.1,24.4,5,10,51.6015625,26.71875,13.9033394591636,NA,78,NA
6081606000,Census Tract 6060; San Mateo County; California,-122.33112485,37.57969425,5299,70.0698244951878,31.4965087752406,1.83053406303076,0,27.5146254010191,0,0.188714851858841,9.0394414040385,29.9301755048122,3753,63094,5163,660,8.48484848484849,10.9090909090909,3.9,19.3939393939394,13.7490007993605,86.2509992006395,86.2857142857143,68.5034912247594,NA,8.8,8.7,22.3,3.7,8.5,58.9966832504146,41.7495854063018,12.9789753119629,47.8527607361963,98,NA
6081606100,Census Tract 6061; San Mateo County; California,-122.31553204,37.58116636,4922,48.0089394555059,20.0121901665989,0,0,18.7322226737099,4.99796830556684,0.223486387647298,4.04307192198293,51.9910605444941,3169,40042,4922,1114,19.3895870736086,24.7755834829443,3.9,44.165170556553,41.6850741558851,58.3149258441149,82.6530612244898,79.9878098334011,NA,10.1,13.1,26.3,5.5,10.7,51.7253521126761,54.7887323943662,11.392537620442,46.5277777777778,100,0.0942063118228921
6081606201,Census Tract 6062.01; San Mateo County; California,-122.32479682,37.57500696,4228,31.6698202459792,8.49101229895932,2.03405865657521,0,20.2223273415326,0.0473036896877956,0,0.875118259224219,68.3301797540208,2317,24259,4068,1089,14.7842056932966,39.2102846648301,2.8,53.9944903581267,56.9270608545533,43.0729391454467,74.251497005988,91.5089877010407,NA,10.1,14.5,29.2,5,18.7,45.7722174288179,23.7273511647972,14.0879364452338,NA,100,NA
6081606202,Census Tract 6062.02; San Mateo County; California,-122.31908927,37.57021166,3572,47.0884658454647,16.0974244120941,0.615901455767077,0,25.6159014557671,0.699888017917133,0,4.05935050391937,52.9115341545353,2470,58468,3539,717,0,52.4407252440725,1.7,52.4407252440725,27.5303643724696,72.4696356275304,82.4929407018959,83.9025755879059,NA,9.4,11.8,25.9,4.2,10.5,55.6506849315068,38.6986301369863,14.0879364452338,NA,100,NA
6081606300,Census Tract 6063; San Mateo County; California,-122.31936004,37.56534417,3794,75.5403268318397,37.2430152872957,2.39852398523985,0,21.5867158671587,0,4.4016868740116,9.9103848181339,24.4596731681603,2979,81507,3718,634,23.9747634069401,3.62776025236593,2.6,27.602523659306,20.7452165156093,79.2547834843907,88.2325581395349,62.7569847127043,NA,8.3,7.9,21,3.7,6.3,60.9445701357466,55.4864253393665,13.9999998957864,40.2203856749311,100,NA
6081606400,Census Tract 6064; San Mateo County; California,-122.32563731,37.56141566,4693,85.9151928404006,41.615171532069,3.04709141274238,0,33.8802471766461,0,0,7.37268271894311,14.0848071595994,3855,87557,4693,692,0,5.92485549132948,0,5.92485549132948,12.5291828793774,87.4708171206226,80.8330391810801,58.384828467931,NA,8.1,6,19.1,3.4,4.2,58.3098023396531,34.0459862847922,12.3012931999313,39.9207131100637,87,19.8558695239901
6081606500,Census Tract 6065; San Mateo County; California,-122.3309478,37.55331791,3313,94.2348324781165,67.2200422577724,0.664050709326894,0.12073649260489,18.4726833685481,0.0301841231512225,0,7.72713552671295,5.76516752188349,2379,112500,3313,801,0,0,3,0,8.61706599411517,91.3829340058848,85.5466666666667,32.7799577422276,NA,8.6,6.6,20.5,3.9,2.7,74.4357976653696,83.1128404669261,11.7317096259649,33.8784481811188,74,19.8558695239901
6081606600,Census Tract 6066; San Mateo County; California,-122.31704562,37.55289155,3682,89.1634980988593,57.1700162954916,0,0,23.2210755024443,0,0.896252036936448,7.87615426398696,10.8365019011407,2633,104811,3682,764,0,0,1.2,0,14.9639194834789,85.0360805165211,79.0134946486738,42.8299837045084,NA,8.8,8,21.2,3.7,4.8,72.554347826087,62.3641304347826,13.7327571305689,32.4503311258278,100,NA
6081606700,Census Tract 6067; San Mateo County; California,-122.323544,37.54043627,2444,90.139116202946,52.9459901800327,1.75941080196399,0,28.3142389525368,0,0,7.11947626841244,9.86088379705401,1754,87303,2444,559,0,3.04114490161002,2.1,3.04114490161002,14.6522234891676,85.3477765108324,86.150409530901,47.0540098199673,NA,8.3,6.6,19.9,3.9,3.1,69.5881731784583,74.6568109820486,12.3740214203623,29.0155440414508,77,NA
6081606800,Census Tract 6068; San Mateo County; California,-122.33778397,37.52952628,3610,93.185595567867,45.0692520775623,0.0277008310249308,0,40.1939058171745,0,2.10526315789474,5.78947368421053,6.81440443213296,2578,99750,3592,768,0,0,6.1,0,12.8394103956555,87.1605896043445,80.0188946622579,54.9307479224377,NA,8.1,7,18.8,4.1,3.4,65.8574784651527,69.1464369616288,11.2749923562104,35.0627884148887,78.5,18.4158753927928
